date_t,cnt
2013-06-15,150.0
2013-06-16,26.0
2013-06-17,1612.0
2013-06-18,2178.0
2013-06-19,1539.0
2013-06-20,1067.0
2013-06-21,1325.0
2013-06-22,85.0
2013-06-23,36.0
2013-06-24,1778.0
2013-06-25,2336.0
2013-06-26,1487.0
2013-06-27,1025.0
2013-06-28,1659.0
2013-06-29,183.0
2013-06-30,
2013-07-01,1819.0
2013-07-02,1781.0
2013-07-03,1924.0
2013-07-04,1256.0
2013-07-05,1526.0
2013-07-06,108.0
2013-07-07,14.0
2013-07-08,1804.0
2013-07-09,1615.0
2013-07-10,1558.0
2013-07-11,810.0
2013-07-12,1603.0
2013-07-13,94.0
2013-07-14,23.0
2013-07-15,2141.0
2013-07-16,1759.0
2013-07-17,1506.0
2013-07-18,1271.0
2013-07-19,1633.0
2013-07-20,154.0
2013-07-21,14.0
2013-07-22,2028.0
2013-07-23,2033.0
2013-07-24,1346.0
2013-07-25,1031.0
2013-07-26,1290.0
2013-07-27,42.0
2013-07-28,
2013-07-29,1961.0
2013-07-30,1751.0
2013-07-31,1505.0
2013-08-01,1477.0
2013-08-02,1892.0
2013-08-03,81.0
2013-08-04,
2013-08-05,2100.0
2013-08-06,1905.0
2013-08-07,1682.0
2013-08-08,1370.0
2013-08-09,985.0
2013-08-10,27.0
2013-08-11,
2013-08-12,1804.0
2013-08-13,1760.0
2013-08-14,1951.0
2013-08-15,1058.0
2013-08-16,1150.0
2013-08-17,363.0
2013-08-18,
2013-08-19,2765.0
2013-08-20,2281.0
2013-08-21,1064.0
2013-08-22,1438.0
2013-08-23,1698.0
2013-08-24,122.0
2013-08-25,14.0
2013-08-26,2106.0
2013-08-27,1811.0
2013-08-28,1751.0
2013-08-29,1433.0
2013-08-30,1034.0
2013-08-31,73.0
2013-09-01,26.0
2013-09-02,1775.0
2013-09-03,2032.0
2013-09-04,1607.0
2013-09-05,861.0
2013-09-06,1534.0
2013-09-07,371.0
2013-09-08,
2013-09-09,1794.0
2013-09-10,1965.0
2013-09-11,1408.0
2013-09-12,1762.0
2013-09-13,1329.0
2013-09-14,188.0
2013-09-15,
2013-09-16,2288.0
2013-09-17,1900.0
2013-09-18,2101.0
2013-09-19,48.0
2013-09-20,13.0
2013-09-21,
2013-09-22,2933.0
2013-09-23,2330.0
2013-09-24,2483.0
2013-09-25,1949.0
2013-09-26,1898.0
2013-09-27,2025.0
2013-09-28,243.0
2013-09-29,2876.0
2013-09-30,2172.0
2013-10-01,
2013-10-02,117.0
2013-10-03,
2013-10-04,17.0
2013-10-05,16.0
2013-10-06,19.0
2013-10-07,
2013-10-08,4723.0
2013-10-09,2681.0
2013-10-10,1876.0
2013-10-11,1339.0
2013-10-12,1414.0
2013-10-13,19.0
2013-10-14,2250.0
2013-10-15,2669.0
2013-10-16,2540.0
2013-10-17,997.0
2013-10-18,1808.0
2013-10-19,171.0
2013-10-20,
2013-10-21,1909.0
2013-10-22,2541.0
2013-10-23,1722.0
2013-10-24,1606.0
2013-10-25,1664.0
2013-10-26,192.0
2013-10-27,
2013-10-28,2436.0
2013-10-29,2077.0
2013-10-30,1789.0
2013-10-31,1321.0
2013-11-01,1714.0
2013-11-02,129.0
2013-11-03,
2013-11-04,2059.0
2013-11-05,1849.0
2013-11-06,1631.0
2013-11-07,1197.0
2013-11-08,2099.0
2013-11-09,206.0
2013-11-10,
2013-11-11,1712.0
2013-11-12,2338.0
2013-11-13,2103.0
2013-11-14,1130.0
2013-11-15,1693.0
2013-11-16,170.0
2013-11-17,
2013-11-18,2057.0
2013-11-19,2160.0
2013-11-20,1519.0
2013-11-21,1357.0
2013-11-22,1698.0
2013-11-23,192.0
2013-11-24,22.0
2013-11-25,2118.0
2013-11-26,2170.0
2013-11-27,1681.0
2013-11-28,1454.0
2013-11-29,1849.0
2013-11-30,778.0
2013-12-01,
2013-12-02,2290.0
2013-12-03,2126.0
2013-12-04,2309.0
2013-12-05,1288.0
2013-12-06,1654.0
2013-12-07,377.0
2013-12-08,
2013-12-09,2026.0
2013-12-10,2002.0
2013-12-11,2739.0
2013-12-12,1726.0
2013-12-13,1474.0
2013-12-14,255.0
2013-12-15,
2013-12-16,2156.0
2013-12-17,1680.0
2013-12-18,1979.0
2013-12-19,1207.0
2013-12-20,1831.0
2013-12-21,278.0
2013-12-22,
2013-12-23,1587.0
2013-12-24,1514.0
2013-12-25,1584.0
2013-12-26,1365.0
2013-12-27,1642.0
2013-12-28,205.0
2013-12-29,
2013-12-30,1660.0
2013-12-31,950.0
2014-01-01,
2014-01-02,4254.0
2014-01-03,4569.0
2014-01-04,649.0
2014-01-05,
2014-01-06,5202.0
2014-01-07,5090.0
2014-01-08,3488.0
2014-01-09,2171.0
2014-01-10,3075.0
2014-01-11,441.0
2014-01-12,
2014-01-13,2593.0
2014-01-14,2796.0
2014-01-15,2546.0
2014-01-16,2706.0
2014-01-17,3006.0
2014-01-18,411.0
2014-01-19,
2014-01-20,3591.0
2014-01-21,3528.0
2014-01-22,3534.0
2014-01-23,2142.0
2014-01-24,3887.0
2014-01-25,324.0
2014-01-26,1659.0
2014-01-27,4320.0
2014-01-28,3957.0
2014-01-29,1598.0
2014-01-30,244.0
2014-01-31,
2014-02-01,
2014-02-02,
2014-02-03,
2014-02-04,
2014-02-05,23.0
2014-02-06,19.0
2014-02-07,4061.0
2014-02-08,3332.0
2014-02-09,13.0
2014-02-10,3710.0
2014-02-11,3525.0
2014-02-12,2282.0
2014-02-13,1576.0
2014-02-14,1772.0
2014-02-15,272.0
2014-02-16,18.0
2014-02-17,1835.0
2014-02-18,1904.0
2014-02-19,2040.0
2014-02-20,1532.0
2014-02-21,1905.0
2014-02-22,250.0
2014-02-23,13.0
2014-02-24,2387.0
2014-02-25,3224.0
2014-02-26,2471.0
2014-02-27,1566.0
2014-02-28,1308.0
2014-03-01,305.0
2014-03-02,27.0
2014-03-03,2206.0
2014-03-04,2018.0
2014-03-05,1722.0
2014-03-06,1437.0
2014-03-07,1064.0
2014-03-08,390.0
2014-03-09,
2014-03-10,2065.0
2014-03-11,1802.0
2014-03-12,1693.0
2014-03-13,1392.0
2014-03-14,1129.0
2014-03-15,239.0
2014-03-16,
2014-03-17,1932.0
2014-03-18,2848.0
2014-03-19,1933.0
2014-03-20,1124.0
2014-03-21,1500.0
2014-03-22,222.0
2014-03-23,
2014-03-24,1582.0
2014-03-25,2051.0
2014-03-26,2954.0
2014-03-27,1534.0
2014-03-28,2473.0
2014-03-29,139.0
2014-03-30,25.0
2014-03-31,1739.0
2014-04-01,1915.0
2014-04-02,1787.0
2014-04-03,1668.0
2014-04-04,1348.0
2014-04-05,25.0
2014-04-06,22.0
2014-04-07,59.0
2014-04-08,3076.0
2014-04-09,2469.0
2014-04-10,1603.0
2014-04-11,1460.0
2014-04-12,182.0
2014-04-13,
2014-04-14,1901.0
2014-04-15,1870.0
2014-04-16,1682.0
2014-04-17,2176.0
2014-04-18,1885.0
2014-04-19,357.0
2014-04-20,22.0
2014-04-21,2070.0
2014-04-22,2607.0
2014-04-23,1803.0
2014-04-24,1100.0
2014-04-25,2248.0
2014-04-26,230.0
2014-04-27,
2014-04-28,1901.0
2014-04-29,2174.0
2014-04-30,1863.0
2014-05-01,
2014-05-02,12.0
2014-05-03,72.0
2014-05-04,2590.0
2014-05-05,1621.0
2014-05-06,2257.0
2014-05-07,2025.0
2014-05-08,2284.0
2014-05-09,1628.0
2014-05-10,191.0
2014-05-11,
2014-05-12,1599.0
2014-05-13,1857.0
2014-05-14,1755.0
2014-05-15,1230.0
2014-05-16,1686.0
2014-05-17,263.0
2014-05-18,18.0
2014-05-19,1812.0
2014-05-20,1841.0
2014-05-21,1090.0
2014-05-22,1253.0
2014-05-23,1545.0
2014-05-24,123.0
2014-05-25,
2014-05-26,1862.0
2014-05-27,1769.0
2014-05-28,1302.0
2014-05-29,1201.0
2014-05-30,2338.0
2014-05-31,153.0
2014-06-01,47.0
2014-06-02,
2014-06-03,2908.0
2014-06-04,1661.0
2014-06-05,1081.0
2014-06-06,1774.0
2014-06-07,124.0
2014-06-08,13.0
2014-06-09,1919.0
2014-06-10,1288.0
2014-06-11,1073.0
2014-06-12,1025.0
2014-06-13,1383.0
2014-06-14,212.0
2014-06-15,
2014-06-16,1489.0
2014-06-17,1713.0
2014-06-18,1952.0
2014-06-19,1227.0
2014-06-20,1370.0
2014-06-21,133.0
2014-06-22,
2014-06-23,1616.0
2014-06-24,2016.0
2014-06-25,2483.0
2014-06-26,1467.0
2014-06-27,2049.0
2014-06-28,291.0
2014-06-29,
2014-06-30,1184.0
2014-07-01,2822.0
2014-07-02,2027.0
2014-07-03,1542.0
2014-07-04,1754.0
2014-07-05,107.0
2014-07-06,
2014-07-07,1983.0
2014-07-08,2209.0
2014-07-09,1731.0
2014-07-10,1266.0
2014-07-11,1494.0
2014-07-12,152.0
2014-07-13,
2014-07-14,2065.0
2014-07-15,2072.0
2014-07-16,1792.0
2014-07-17,1512.0
2014-07-18,1853.0
2014-07-19,248.0
2014-07-20,
2014-07-21,1740.0
2014-07-22,1739.0
2014-07-23,1495.0
2014-07-24,1656.0
2014-07-25,1244.0
2014-07-26,41.0
2014-07-27,
2014-07-28,1755.0
2014-07-29,1749.0
2014-07-30,1313.0
2014-07-31,1175.0
2014-08-01,1391.0
2014-08-02,248.0
2014-08-03,
2014-08-04,2022.0
2014-08-05,2787.0
2014-08-06,1658.0
2014-08-07,1023.0
2014-08-08,1545.0
2014-08-09,207.0
2014-08-10,
2014-08-11,2076.0
2014-08-12,1416.0
2014-08-13,1421.0
2014-08-14,1130.0
2014-08-15,1377.0
2014-08-16,248.0
2014-08-17,
2014-08-18,1867.0
2014-08-19,1941.0
2014-08-20,1707.0
2014-08-21,1510.0
2014-08-22,1065.0
2014-08-23,305.0
2014-08-24,13.0
2014-08-25,1824.0
2014-08-26,2049.0
2014-08-27,1371.0
2014-08-28,1299.0
2014-08-29,1752.0
2014-08-30,212.0
2014-08-31,
2014-09-01,2764.0
2014-09-02,2466.0
2014-09-03,2079.0
2014-09-04,1471.0
2014-09-05,2344.0
2014-09-06,218.0
2014-09-07,
2014-09-08,
2014-09-09,4044.0
2014-09-10,2265.0
2014-09-11,1602.0
2014-09-12,2033.0
2014-09-13,317.0
2014-09-14,
2014-09-15,2209.0
2014-09-16,2231.0
2014-09-17,1190.0
2014-09-18,1413.0
2014-09-19,2097.0
2014-09-20,205.0
2014-09-21,
2014-09-22,2156.0
2014-09-23,2219.0
2014-09-24,1801.0
2014-09-25,1657.0
2014-09-26,2965.0
2014-09-27,382.0
2014-09-28,1268.0
2014-09-29,2915.0
2014-09-30,3137.0
2014-10-01,132.0
2014-10-02,
2014-10-03,
2014-10-04,
2014-10-05,
2014-10-06,52.0
2014-10-07,15.0
2014-10-08,4783.0
2014-10-09,2396.0
2014-10-10,2454.0
2014-10-11,1964.0
2014-10-12,35.0
2014-10-13,3096.0
2014-10-14,2441.0
2014-10-15,2282.0
2014-10-16,1467.0
2014-10-17,1432.0
2014-10-18,193.0
2014-10-19,
2014-10-20,1792.0
2014-10-21,2085.0
2014-10-22,1967.0
2014-10-23,1312.0
2014-10-24,1381.0
2014-10-25,218.0
2014-10-26,
2014-10-27,1993.0
2014-10-28,2389.0
2014-10-29,2061.0
2014-10-30,2394.0
2014-10-31,1579.0
2014-11-01,15.0
2014-11-02,
2014-11-03,2136.0
2014-11-04,1946.0
2014-11-05,1762.0
2014-11-06,1342.0
2014-11-07,1718.0
2014-11-08,256.0
2014-11-09,
2014-11-10,2041.0
2014-11-11,1692.0
2014-11-12,1867.0
2014-11-13,1085.0
2014-11-14,1932.0
2014-11-15,245.0
2014-11-16,22.0
2014-11-17,2175.0
2014-11-18,2356.0
2014-11-19,1869.0
2014-11-20,1468.0
2014-11-21,1756.0
2014-11-22,246.0
2014-11-23,
2014-11-24,1863.0
2014-11-25,2242.0
2014-11-26,1585.0
2014-11-27,1243.0
2014-11-28,1409.0
2014-11-29,344.0
2014-11-30,
2014-12-01,2294.0
2014-12-02,1778.0
2014-12-03,1755.0
2014-12-04,1641.0
2014-12-05,1459.0
2014-12-06,261.0
2014-12-07,
2014-12-08,2024.0
2014-12-09,2490.0
2014-12-10,1504.0
2014-12-11,1695.0
2014-12-12,1706.0
2014-12-13,138.0
2014-12-14,
2014-12-15,2113.0
2014-12-16,2036.0
2014-12-17,1729.0
2014-12-18,1332.0
2014-12-19,1977.0
2014-12-20,186.0
2014-12-21,
2014-12-22,1593.0
2014-12-23,3091.0
2014-12-24,1960.0
2014-12-25,769.0
2014-12-26,1844.0
2014-12-27,140.0
2014-12-28,25.0
2014-12-29,2167.0
2014-12-30,1292.0
2014-12-31,1278.0
2015-01-01,75.0
2015-01-02,
2015-01-03,
2015-01-04,7063.0
2015-01-05,5804.0
2015-01-06,7226.0
2015-01-07,3616.0
2015-01-08,5742.0
2015-01-09,4501.0
2015-01-10,796.0
2015-01-11,
2015-01-12,4259.0
2015-01-13,3472.0
2015-01-14,2482.0
2015-01-15,2722.0
2015-01-16,2869.0
2015-01-17,448.0
2015-01-18,24.0
2015-01-19,3425.0
2015-01-20,2794.0
2015-01-21,2954.0
2015-01-22,2501.0
2015-01-23,2883.0
2015-01-24,699.0
2015-01-25,24.0
2015-01-26,2692.0
2015-01-27,3526.0
2015-01-28,3877.0
2015-01-29,2546.0
2015-01-30,2709.0
2015-01-31,471.0
2015-02-01,
2015-02-02,3469.0
2015-02-03,3498.0
2015-02-04,3835.0
2015-02-05,2530.0
2015-02-06,2564.0
2015-02-07,367.0
2015-02-08,
2015-02-09,4217.0
2015-02-10,4630.0
2015-02-11,3877.0
2015-02-12,4141.0
2015-02-13,3701.0
2015-02-14,652.0
2015-02-15,2663.0
2015-02-16,4903.0
2015-02-17,2040.0
2015-02-18,
2015-02-19,
2015-02-20,
2015-02-21,
2015-02-22,
2015-02-23,
2015-02-24,23.0
2015-02-25,4712.0
2015-02-26,4395.0
2015-02-27,3661.0
2015-02-28,2073.0
2015-03-01,
2015-03-02,4832.0
2015-03-03,4032.0
2015-03-04,2054.0
2015-03-05,1477.0
2015-03-06,1808.0
2015-03-07,290.0
2015-03-08,
2015-03-09,2028.0
2015-03-10,2479.0
2015-03-11,1426.0
2015-03-12,1693.0
2015-03-13,1626.0
2015-03-14,236.0
2015-03-15,
2015-03-16,2508.0
2015-03-17,2491.0
2015-03-18,1907.0
2015-03-19,1524.0
2015-03-20,1664.0
2015-03-21,948.0
2015-03-22,
2015-03-23,2617.0
2015-03-24,2325.0
2015-03-25,2451.0
2015-03-26,1140.0
2015-03-27,1696.0
2015-03-28,376.0
2015-03-29,
2015-03-30,2280.0
2015-03-31,2007.0
2015-04-01,1784.0
2015-04-02,1102.0
2015-04-03,1902.0
2015-04-04,55.0
2015-04-05,
2015-04-06,13.0
2015-04-07,3380.0
2015-04-08,2690.0
2015-04-09,1348.0
2015-04-10,2035.0
2015-04-11,139.0
2015-04-12,20.0
2015-04-13,2044.0
2015-04-14,2024.0
2015-04-15,1455.0
2015-04-16,1354.0
2015-04-17,1310.0
2015-04-18,275.0
2015-04-19,
2015-04-20,2424.0
2015-04-21,2985.0
2015-04-22,2014.0
2015-04-23,1105.0
2015-04-24,1524.0
2015-04-25,378.0
2015-04-26,
2015-04-27,2491.0
2015-04-28,2830.0
2015-04-29,2155.0
2015-04-30,2017.0
2015-05-01,27.0
2015-05-02,
2015-05-03,
2015-05-04,3150.0
2015-05-05,2383.0
2015-05-06,2824.0
2015-05-07,1876.0
2015-05-08,2054.0
2015-05-09,321.0
2015-05-10,
2015-05-11,2384.0
2015-05-12,2472.0
2015-05-13,1881.0
2015-05-14,1816.0
2015-05-15,1361.0
2015-05-16,314.0
2015-05-17,
2015-05-18,3309.0
2015-05-19,1948.0
2015-05-20,1722.0
2015-05-21,1520.0
2015-05-22,2232.0
2015-05-23,497.0
2015-05-24,
2015-05-25,2037.0
2015-05-26,2246.0
2015-05-27,1447.0
2015-05-28,1478.0
2015-05-29,1631.0
2015-05-30,128.0
2015-05-31,
2015-06-01,2102.0
2015-06-02,2114.0
2015-06-03,1964.0
2015-06-04,1427.0
2015-06-05,1416.0
2015-06-06,319.0
2015-06-07,
2015-06-08,2147.0
2015-06-09,1925.0
2015-06-10,1668.0
2015-06-11,1692.0
2015-06-12,1517.0
2015-06-13,381.0
2015-06-14,
2015-06-15,2327.0
2015-06-16,1926.0
2015-06-17,1387.0
2015-06-18,1533.0
2015-06-19,1946.0
2015-06-20,89.0
2015-06-21,
2015-06-22,
2015-06-23,3157.0
2015-06-24,1933.0
2015-06-25,1257.0
2015-06-26,2051.0
2015-06-27,472.0
2015-06-28,
2015-06-29,2031.0
2015-06-30,1465.0
2015-07-01,2291.0
2015-07-02,1380.0
2015-07-03,1659.0
2015-07-04,401.0
2015-07-05,
2015-07-06,2248.0
2015-07-07,3005.0
2015-07-08,2281.0
2015-07-09,1062.0
2015-07-10,1675.0
2015-07-11,304.0
2015-07-12,
2015-07-13,2034.0
2015-07-14,2520.0
2015-07-15,1944.0
2015-07-16,1398.0
2015-07-17,1384.0
2015-07-18,288.0
2015-07-19,
2015-07-20,1804.0
2015-07-21,2255.0
2015-07-22,1893.0
2015-07-23,1193.0
2015-07-24,1907.0
2015-07-25,185.0
2015-07-26,
2015-07-27,1304.0
2015-07-28,2076.0
2015-07-29,1754.0
2015-07-30,1155.0
2015-07-31,1613.0
2015-08-01,410.0
2015-08-02,
2015-08-03,2437.0
2015-08-04,2596.0
2015-08-05,1823.0
2015-08-06,1951.0
2015-08-07,1983.0
2015-08-08,297.0
2015-08-09,
2015-08-10,2186.0
2015-08-11,1608.0
2015-08-12,2334.0
2015-08-13,2051.0
2015-08-14,1795.0
2015-08-15,346.0
2015-08-16,
2015-08-17,1926.0
2015-08-18,1902.0
2015-08-19,1604.0
2015-08-20,1357.0
2015-08-21,1893.0
2015-08-22,227.0
2015-08-23,24.0
2015-08-24,2270.0
2015-08-25,2200.0
2015-08-26,1738.0
2015-08-27,1327.0
2015-08-28,1254.0
2015-08-29,498.0
2015-08-30,20.0
2015-08-31,2616.0
2015-09-01,2477.0
2015-09-02,2305.0
2015-09-03,12.0
2015-09-04,
2015-09-05,
2015-09-06,3354.0
2015-09-07,1800.0
2015-09-08,2684.0
2015-09-09,1475.0
2015-09-10,1783.0
2015-09-11,1625.0
2015-09-12,309.0
2015-09-13,
2015-09-14,1990.0
2015-09-15,2256.0
2015-09-16,2032.0
2015-09-17,1183.0
2015-09-18,1565.0
2015-09-19,254.0
2015-09-20,
2015-09-21,1983.0
2015-09-22,2445.0
2015-09-23,2312.0
2015-09-24,1510.0
2015-09-25,2380.0
2015-09-26,61.0
2015-09-27,
2015-09-28,3279.0
2015-09-29,3804.0
2015-09-30,3046.0
2015-10-01,
2015-10-02,13.0
2015-10-03,
2015-10-04,15.0
2015-10-05,
2015-10-06,
2015-10-07,88.0
2015-10-08,4354.0
2015-10-09,3418.0
2015-10-10,2489.0
2015-10-11,
2015-10-12,2584.0
2015-10-13,3546.0
2015-10-14,2458.0
2015-10-15,2065.0
2015-10-16,1816.0
2015-10-17,263.0
2015-10-18,28.0
2015-10-19,2407.0
2015-10-20,3639.0
2015-10-21,2551.0
2015-10-22,1925.0
2015-10-23,1989.0
2015-10-24,181.0
2015-10-25,
2015-10-26,2569.0
2015-10-27,2019.0
2015-10-28,1900.0
2015-10-29,1180.0
2015-10-30,1886.0
2015-10-31,322.0
2015-11-01,
2015-11-02,2615.0
2015-11-03,2594.0
2015-11-04,1760.0
2015-11-05,1590.0
2015-11-06,1994.0
2015-11-07,409.0
2015-11-08,24.0
2015-11-09,3017.0
2015-11-10,2538.0
2015-11-11,2019.0
2015-11-12,1667.0
2015-11-13,1876.0
2015-11-14,498.0
2015-11-15,
2015-11-16,2237.0
2015-11-17,2268.0
2015-11-18,1898.0
2015-11-19,1870.0
2015-11-20,2174.0
2015-11-21,540.0
2015-11-22,
2015-11-23,2397.0
2015-11-24,1947.0
2015-11-25,2057.0
2015-11-26,1860.0
2015-11-27,2270.0
2015-11-28,409.0
2015-11-29,
2015-11-30,3666.0
2015-12-01,2535.0
2015-12-02,2063.0
2015-12-03,1497.0
2015-12-04,2170.0
2015-12-05,312.0
2015-12-06,
2015-12-07,2228.0
2015-12-08,2098.0
2015-12-09,2725.0
2015-12-10,1491.0
2015-12-11,2140.0
2015-12-12,450.0
2015-12-13,
2015-12-14,2057.0
2015-12-15,2181.0
2015-12-16,2339.0
2015-12-17,1414.0
2015-12-18,2924.0
2015-12-19,482.0
2015-12-20,
2015-12-21,1611.0
2015-12-22,2771.0
2015-12-23,3477.0
2015-12-24,1565.0
2015-12-25,2158.0
2015-12-26,800.0
2015-12-27,15.0
2015-12-28,2555.0
2015-12-29,1839.0
2015-12-30,2331.0
2015-12-31,772.0
2016-01-01,70.0
2016-01-02,33.0
2016-01-03,
2016-01-04,6421.0
2016-01-05,7069.0
2016-01-06,5017.0
2016-01-07,3192.0
2016-01-08,4838.0
2016-01-09,1063.0
2016-01-10,
2016-01-11,5227.0
2016-01-12,3848.0
2016-01-13,3631.0
2016-01-14,1899.0
2016-01-15,2978.0
2016-01-16,657.0
2016-01-17,
2016-01-18,3859.0
2016-01-19,4572.0
2016-01-20,3687.0
2016-01-21,2851.0
2016-01-22,2644.0
2016-01-23,429.0
2016-01-24,
2016-01-25,3637.0
2016-01-26,3865.0
2016-01-27,3499.0
2016-01-28,2374.0
2016-01-29,3880.0
2016-01-30,755.0
2016-01-31,
2016-02-01,5594.0
2016-02-02,5592.0
2016-02-03,4690.0
2016-02-04,4243.0
2016-02-05,4763.0
2016-02-06,1564.0
2016-02-07,
2016-02-08,
2016-02-09,
2016-02-10,
2016-02-11,24.0
2016-02-12,
2016-02-13,
2016-02-14,3664.0
2016-02-15,3610.0
2016-02-16,5537.0
2016-02-17,3369.0
2016-02-18,3054.0
2016-02-19,2735.0
2016-02-20,780.0
2016-02-21,
2016-02-22,3037.0
2016-02-23,3315.0
2016-02-24,2221.0
2016-02-25,1541.0
2016-02-26,1883.0
2016-02-27,564.0
2016-02-28,
2016-02-29,2525.0
2016-03-01,2627.0
2016-03-02,2374.0
2016-03-03,1618.0
2016-03-04,2259.0
2016-03-05,426.0
2016-03-06,
2016-03-07,2203.0
2016-03-08,2344.0
2016-03-09,2392.0
2016-03-10,1870.0
2016-03-11,1772.0
2016-03-12,610.0
2016-03-13,
2016-03-14,2437.0
2016-03-15,2326.0
2016-03-16,1954.0
2016-03-17,1569.0
2016-03-18,1777.0
2016-03-19,442.0
2016-03-20,
2016-03-21,2476.0
2016-03-22,1934.0
2016-03-23,2048.0
2016-03-24,1586.0
2016-03-25,2268.0
2016-03-26,506.0
2016-03-27,
2016-03-28,3439.0
2016-03-29,3208.0
2016-03-30,2277.0
2016-03-31,2144.0
2016-04-01,2519.0
2016-04-02,195.0
2016-04-03,
2016-04-04,
2016-04-05,4003.0
2016-04-06,2513.0
2016-04-07,1306.0
2016-04-08,
2016-04-09,
2016-04-10,
2016-04-11,
2016-04-12,
2016-04-13,
2016-04-14,
2016-04-15,
2016-04-16,
2016-04-17,
2016-04-18,
2016-04-19,
2016-04-20,
2016-04-21,
2016-04-22,
2016-04-23,
2016-04-24,
2016-04-25,
2016-04-26,
2016-04-27,
2016-04-28,
2016-04-29,
2016-04-30,
2016-05-01,
2016-05-02,
2016-05-03,
2016-05-04,
2016-05-05,
2016-05-06,
2016-05-07,
2016-05-08,
2016-05-09,
2016-05-10,
2016-05-11,
2016-05-12,
2016-05-13,
2016-05-14,
2016-05-15,
2016-05-16,
2016-05-17,
2016-05-18,
2016-05-19,
2016-05-20,
2016-05-21,
2016-05-22,
2016-05-23,
2016-05-24,
2016-05-25,
2016-05-26,
2016-05-27,
2016-05-28,
2016-05-29,
2016-05-30,
2016-05-31,
2016-06-01,
2016-06-02,
2016-06-03,
2016-06-04,
2016-06-05,
2016-06-06,
2016-06-07,
2016-06-08,
2016-06-09,
2016-06-10,
2016-06-11,
2016-06-12,
