cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/25/2016,10/31/2016,"USC Dornsife/LA Times","",3145,"lv",2.956711,43.28,46.9,,,44.53217,43.84845,,,"","http://latimes.com/politics/",47874,74923,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Florida",10/25/2016,10/27/2016,"Siena College","A",815,"lv",2.755075,42,46,4,,41.81832,47.92262,2.676897,,"","http://www.nytimes.com/interactive/2016/10/30/upshot/florida-poll.html?_r=0",47771,74761,10/30/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"California",10/14/2016,10/23/2016,"Public Policy Institute of California","A",1024,"lv",2.739877,54,28,5,,55.68839,29.50605,3.17051,,"","http://www.ppic.org/content/pubs/survey/S_1016MBS.pdf",47545,74374,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/29/2016,10/30/2016,"Morning Consult","",1772,"lv",2.729417,42,39,7,,43.31551,40.34972,5.823322,,"","http://www.politico.com/story/2016/10/clinton-emails-comey-poll-politico-morning-consult-230519",47786,74805,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"North Carolina",10/25/2016,10/26/2016,"Marist College","A",780,"lv",2.727504,47,41,8,,45.20793,42.01937,6.499082,,"","http://www.nbcnews.com/meet-the-press/polls-clinton-leads-trump-north-carolina-dead-heat-florida-n675246",47775,74766,10/30/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Florida",10/25/2016,10/26/2016,"Marist College","A",779,"lv",2.72452,45,44,5,,43.19458,45.07725,3.499082,,"","http://www.nbcnews.com/meet-the-press/polls-clinton-leads-trump-north-carolina-dead-heat-florida-n675246",47776,74770,10/30/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/20/2016,10/24/2016,"GfK Group","B+",1212,"lv",2.714895,51,37,6,,50.18283,39.33826,5.044833,,"","http://ap-gfkpoll.com/main/wp-content/uploads/2016/10/October-2016-AP-GfK-Poll-Topline_Campaign.pdf",47538,74345,10/26/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Florida",10/21/2016,10/24/2016,"Selzer & Company","A+",805,"lv",2.694791,43,45,4,,42.67789,46.11255,3.054228,,"","http://www.bloomberg.com/politics/articles/2016-10-26/florida-poll",47469,74257,10/26/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Pennsylvania",10/26/2016,10/28/2016,"YouGov","B",1091,"lv",2.61956,48,40,5,,47.77047,39.80679,6.359501,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47777,74787,10/30/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Pennsylvania",10/23/2016,10/25/2016,"Siena College","A",824,"lv",2.584576,46,39,6,,45.74354,41.34735,4.421316,,"","http://www.nytimes.com/interactive/2016/10/27/upshot/pennsylvania-poll.html",47551,74386,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/14/2016,10/17/2016,"Selzer & Company","A+",1000,"lv",2.538795,47,38,8,,46.84417,39.99571,6.27284,,"","http://www.bloomberg.com/politics/articles/2016-10-19/national-poll",47060,73636,10/19/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Missouri",10/27/2016,10/28/2016,"BK Strategies","",1698,"lv",2.502021,39,53,,,38.51061,50.7572,,,"","http://themissouritimes.com/35134/blunt-opens-lead-kander-new-poll/",47860,74895,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Colorado",10/26/2016,10/28/2016,"YouGov","B",997,"lv",2.487104,42,39,7,,41.75385,38.87231,8.359501,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47780,74790,10/30/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/22/2016,10/26/2016,"YouGov","B",1209,"lv",2.485111,46,41,4,,45.63602,41.55637,4.964521,,"","https://today.yougov.com/news/2016/10/27/yougoveconomist-poll-october-22-26-2016/",47608,74499,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Arizona",10/26/2016,10/28/2016,"YouGov","B",994,"lv",2.482707,42,44,4,,41.76,43.84806,5.359501,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47778,74788,10/30/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/25/2016,10/26/2016,"Gravis Marketing","B-",1824,"rv",2.479879,46,45,2,,45.78602,45.0337,2.193952,,"","http://www.breitbart.com/big-government/2016/10/27/exclusive-statistical-tie-latest-breitbartgravis-poll-shows-donald-trump-closes-gap-less-two-weeks-left/",47631,74547,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"North Carolina",10/26/2016,10/28/2016,"YouGov","B",992,"lv",2.479769,48,45,3,,47.77576,44.78595,4.359501,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47779,74789,10/30/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/27/2016,10/31/2016,"Rasmussen Reports/Pulse Opinion Research","C+",1500,"lv",2.475616,44,44,5,,44.50363,44.1804,5.160502,,"","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_nov1",47934,74990,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/24/2016,10/30/2016,"SurveyMonkey","C-",40816,"lv",2.446905,47,41,6,,45.66489,40.41809,3.333669,,"","http://www.nbcnews.com/storyline/data-points/poll-clinton-maintains-national-lead-over-trump-despite-fbi-letter-n675771",47869,74912,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Missouri",10/23/2016,10/25/2016,"Remington","",2559,"lv",2.436428,39,50,4,,38.42823,49.47709,4.308866,,"","http://themissouritimes.com/35001/greitens-trims-kosters-lead-trump-surges-missouri/",47615,74518,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"New Hampshire",10/20/2016,10/24/2016,"Marist College","A",768,"lv",2.409964,45,36,10,,43.04313,38.24964,7.959227,,"","http://www.nbcnews.com/politics/first-read/polls-clinton-holds-9-point-lead-new-hampshire-tied-nevada-n673361",47539,74346,10/26/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Pennsylvania",10/30/2016,10/30/2016,"Remington","",1249,"lv",2.402631,45,43,3,,44.7114,41.14791,4.065788,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47850,74877,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Ohio",10/30/2016,10/30/2016,"Remington","",1187,"lv",2.352779,43,48,3,,42.7114,46.14791,4.065788,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47849,74876,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"North Carolina",10/30/2016,10/30/2016,"Remington","",1176,"lv",2.343616,45,47,2,,44.7114,45.14791,3.065788,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47848,74875,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Wisconsin",10/30/2016,10/30/2016,"Remington","",1172,"lv",2.34026,46,42,4,,45.7114,40.14791,5.065788,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47852,74879,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/24/2016,10/30/2016,"CVOTER International","C+",1299,"lv",2.335762,48.81,47.71,,,46.38828,44.13978,,,"","http://www.upi.com/Top_News/US/2016/11/01/UPICVoter-poll-Clinton-Trump-nearly-tied-a-week-before-election/2981477999869/",47882,74938,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"North Carolina",10/20/2016,10/23/2016,"Siena College","A",792,"lv",2.325438,46,39,8,,45.74498,41.64333,6.137042,,"","http://files.constantcontact.com/9c83fb30501/a28d624b-bd7e-46a7-a024-573e184bd3bb.pdf",47325,74046,10/25/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"New Mexico",10/24/2016,10/24/2016,"Zia Poll","",1899,"lv",2.315098,45,40,9,,43.73338,39.62985,9.695195,,"","http://projects.fivethirtyeight.com/polls/20161027_NM.pdf",47612,74511,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Arizona",10/22/2016,10/24/2016,"Saguaro Strategies","",2385,"lv",2.30712,48,46,5,,45.73579,46.35058,4.172206,,"","https://www.scribd.com/document/329155539/Saguaro-Strategies-General-Election-Survey-October-22-24",47630,74546,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Virginia",10/30/2016,10/30/2016,"Remington","",1106,"lv",2.282895,47,43,3,,46.7114,41.14791,4.065788,,"","http://projects.fivethirtyeight.com/polls/20161030_VA_1.pdf",47868,74911,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Iowa",10/20/2016,10/26/2016,"Quinnipiac University","A-",791,"lv",2.282363,44,44,4,,44.08772,44.58124,2.92435,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397",47618,74522,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Virginia",10/28/2016,10/30/2016,"Emerson College","B",800,"lv",2.231109,49,45,3,,48.63733,43.2056,2.953504,,"","http://projects.fivethirtyeight.com/polls/20161101_Swing_1.pdf",47877,74930,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Minnesota",10/22/2016,10/26/2016,"SurveyUSA","A",656,"lv",2.22825,49,39,5,,47.3517,39.01773,5.062005,,"","http://www.surveyusa.com/client/PollReport.aspx?g=9749ea8d-a14e-4db8-bd3f-13cfb18c9d02",47712,74694,10/29/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/17/2016,10/18/2016,"Quinnipiac University","A-",1007,"lv",2.196568,47,40,7,,47.20443,41.15833,5.325565,,"","https://www.qu.edu/images/polling/us/us10192016_U29frgv.pdf",47078,73671,10/19/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Texas",10/21/2016,10/22/2016,"YouGov","B",1031,"lv",2.18948,43,46,5,,42.63636,46.87188,5.680246,,"","https://today.yougov.com/news/2016/10/23/battlegrounds-presidential-race-tight-florida-and-/",47237,73920,10/23/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/20/2016,10/24/2016,"Suffolk University","B+",1000,"lv",2.180449,47.4,37.6,3.9,,46.95812,39.36292,4.31719,,"","https://www.suffolk.edu/documents/SUPRC/10_26_2016_marginals.pdf",47530,74325,10/26/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Florida",10/20/2016,10/25/2016,"University of North Florida","B+",819,"lv",2.179954,43,39,6,,43.94143,42.24168,4.507492,,"","http://www.firstcoastnews.com/news/unf-poll-shows-clinton-holds-a-slight-lead-over-trump-in-florida/343029691",47549,74383,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Florida",10/30/2016,10/30/2016,"Remington","",989,"lv",2.171098,44,48,2,,43.7114,46.14791,3.065788,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47846,74873,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Maine",10/28/2016,10/30/2016,"Emerson College","B",750,"lv",2.170599,46,42,5,,45.63095,40.2258,4.953504,,"","http://projects.fivethirtyeight.com/polls/20161101_Swing_1.pdf",47879,74932,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Georgia",10/25/2016,10/31/2016,"SurveyMonkey","C-",2665,"lv",2.166949,44,46,7,,42.73449,45.10929,4.46675,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",47893,74949,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Nevada",10/20/2016,10/24/2016,"Marist College","A",707,"lv",2.166455,43,43,10,,41.09849,44.92952,7.959227,,"","http://www.nbcnews.com/politics/first-read/polls-clinton-holds-9-point-lead-new-hampshire-tied-nevada-n673361",47540,74347,10/26/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"New Hampshire",10/26/2016,10/30/2016,"University of New Hampshire","B+",618,"lv",2.164785,46,39,6,,45.78382,40.53563,6.023805,,"","https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_fall_nhelec103116.pdf",47871,74918,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Texas",10/27/2016,10/29/2016,"Dixie Strategies","C+",980,"lv",2.158698,39.39,51.53,2.96,,39.79761,50.76878,3.286923,,"","http://dfw.cbslocal.com/2016/11/01/donald-trump-surges-to-12-point-lead-in-texas/",47993,75052,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Pennsylvania",10/26/2016,10/30/2016,"Franklin & Marshall College","B+",652,"lv",2.157484,49,38,4,,48.5308,39.71922,4.154008,,"","http://www.philly.com/philly/blogs/big_tent/Clinton-up-big-in-PA-says-new-FM-College-Poll.html",47876,74927,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"California",10/25/2016,10/31/2016,"SurveyMonkey","C-",2505,"lv",2.142356,55,30,7,,53.72084,29.1581,4.46675,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",47887,74943,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Florida",10/25/2016,10/26/2016,"Gravis Marketing","B-",1301,"rv",2.140121,48,47,1,,47.7879,47.02554,1.193952,,"","http://www.breitbart.com/2016-presidential-race/2016/10/29/exclusive-breitbartgravis-florida-poll-donald-trump-and-hillary-clinton-in-statistical-tie/",47767,74755,10/30/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Colorado",10/30/2016,10/30/2016,"Remington","",952,"lv",2.132726,45,44,4,,44.7114,42.14791,5.065788,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47845,74872,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/20/2016,10/21/2016,"Public Policy Polling","B+",990,"lv",2.132376,46,40,5,,45.05301,41.09445,5.083591,,"","http://www.socialsecurityworks.org/wp-content/uploads/2016/10/NationalResults.pdf",47527,74321,10/26/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Florida",10/25/2016,10/31/2016,"SurveyMonkey","C-",2809,"lv",2.131108,46,45,5,,44.72326,44.14946,2.46675,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",47892,74948,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Georgia",10/17/2016,10/20/2016,"Time/Abt SRBI","A-",839,"lv",2.13071,42,44,9,,41.87008,46.25708,6.488977,,"","http://politics.blog.ajc.com/2016/10/21/ajc-poll-trump-and-clinton-deadlocked-georgia/",47158,73792,10/21/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Florida",10/21/2016,10/22/2016,"YouGov","B",1042,"lv",2.126459,46,43,3,,45.63017,43.90773,3.680246,,"","https://today.yougov.com/news/2016/10/23/battlegrounds-presidential-race-tight-florida-and-/",47236,73919,10/23/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Georgia",10/25/2016,10/27/2016,"SurveyUSA","A",683,"rv",2.126121,42,49,3,,41.7627,50.48988,2.624004,,"","http://www.11alive.com/news/politics/elections/exclusive-poll-donald-trump-will-win-georgia/343838078",47785,74803,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/21/2016,10/24/2016,"NBC News/Wall Street Journal","A-",724,"lv",2.125523,43,34,7,,41.91822,36.25222,5.309163,,"","http://fm.cnbc.com/applications/cnbc.com/resources/editorialfiles/2016/10/27/survey.pdf",47550,74505,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"North Carolina",10/25/2016,10/26/2016,"Gravis Marketing","B-",1273,"rv",2.117863,49,47,1,,48.80125,46.96766,1.193952,,"","http://www.breitbart.com/2016-presidential-race/2016/10/29/exclusive-breitbartgravis-north-carolina-poll-clinton-trump-in-statistical-tie/",47766,74754,10/30/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Virginia",10/20/2016,10/26/2016,"Quinnipiac University","A-",749,"lv",2.116462,50,38,4,,50.11597,38.43544,2.92435,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397",47620,74524,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Florida",10/25/2016,10/26/2016,"Public Policy Polling","B+",742,"lv",2.113402,48,44,,,46.88216,43.8345,,,"","http://www.politico.com/states/f/?id=00000158-0ab5-d236-ad5d-dab74e5e0001",47637,74560,10/28/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Kentucky",10/26/2016,10/28/2016,"Cygnal Political","",811,"lv",2.106601,32,56,,,31.80767,54.75208,,,"","http://www.runswitchpr.com/oct-2016-survey/",47792,74812,10/31/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Georgia",10/20/2016,10/26/2016,"Quinnipiac University","A-",707,"lv",2.093492,43,44,8,,43.14038,44.30946,6.92435,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397",47617,74521,10/27/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"U.S.",10/20/2016,10/23/2016,"CNN/Opinion Research Corp.","A-",779,"lv",2.083295,49,44,3,,47.83393,43.25948,1.689483,,"","http://i2.cdn.turner.com/cnn/2016/images/10/24/cnn.poll.pdf",47314,74018,10/24/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Ohio",10/26/2016,10/27/2016,"Emerson College","B",800,"lv",2.07418,45,45,6,,44.50785,43.74232,5.675094,,"","http://projects.fivethirtyeight.com/polls/20161029_1.pdf",47757,74740,10/29/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Vermont",10/24/2016,10/26/2016,"Political Marketing International, Inc./Red Racing Horses","B-",1052,"lv",2.070199,52,26,5,,50.66944,26.71407,4.715528,,"","http://rrhelections.com/index.php/2016/10/28/rrh-elections-vermont-poll-phil-scott-r-leads-sue-minter-d-45-38-for-governor/",47640,74563,10/28/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Idaho",10/21/2016,10/23/2016,"Emerson College","B",1023,"lv",2.065228,23,52,,,20.01258,49.56269,,,"","http://media.wix.com/ugd/3bebb2_06bcdf8a3e564f1ea6549d31229f4d73.pdf",47339,74075,10/25/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Texas",10/25/2016,10/31/2016,"SurveyMonkey","C-",2051,"lv",2.056315,41,47,8,,39.72546,46.14158,5.46675,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",47926,74982,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"Pennsylvania",10/25/2016,10/31/2016,"SurveyMonkey","C-",2255,"lv",2.044662,49,41,6,,47.72671,40.13711,3.46675,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",47921,74977,11/1/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"North Carolina",10/21/2016,10/22/2016,"Public Policy Polling","B+",875,"lv",2.042292,47,44,4,,46.06748,44.81387,4.205119,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NC_102416.pdf",47248,73936,10/24/16,"15:09:38  1 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/1/16,"North Carolina",10/20/2016,10/26/2016,"Quinnipiac University","A-",702,"lv",2.012809,47,43,5,,47.12807,43.37304,3.92435,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397",47619,74523,10/27/16,"15:09:38  1 Nov 2016"
